,name,religion,race,occupation,gender,age,country,continent,physics
0,max_iou,0.2995511406225692,0.43128815628815625,0.47283256982505106,0.39901855916893514,0.3969245541066667,0.4535569182628006,0.3844155844155844,0.4500910478012344
1,min_iou,0.044546070460704607,0.2521239816011785,0.35890148858233967,0.39011236511236513,0.38908838908838905,0.41418760576655317,0.32977495933234874,0.44215506715506725
2,SNSR_iou,0.2550050701618646,0.17916417468697776,0.1139310812427114,0.008906194056570005,0.007836165018277663,0.03936931249624742,0.05464062508323564,0.007935980646167129
3,SNSV_iou,0.11897810820283901,0.06364153039627975,0.03917087837931765,0.003299262391226343,0.003244446407476747,0.012529275462575963,0.022349637536222395,0.0039679903230835645
4,max_serp_ms,0.12092307692307694,0.25446153846153846,0.21815384615384614,0.16953846153846153,0.15338461538461537,0.2644615384615384,0.254,0.2712307692307692
5,min_serp_ms,0.03784615384615385,0.10015384615384615,0.12707692307692306,0.132,0.13907692307692304,0.14015384615384613,0.1256923076923077,0.19784615384615387
6,SNSR_serp_ms,0.08307692307692309,0.1543076923076923,0.09107692307692308,0.03753846153846152,0.014307692307692327,0.12430769230769229,0.12830769230769232,0.07338461538461535
7,SNSV_serp_ms,0.032351435588168026,0.06117144159060002,0.03450840220127856,0.01422411486831367,0.005841203482130905,0.040082393103804397,0.059983605035957926,0.03669230769230768
8,max_prag,0.358,0.4646666666666667,0.5566666666666668,0.542,0.534,0.57,0.4726666666666667,0.5206666666666667
9,min_prag,0.036000000000000004,0.312,0.42733333333333334,0.46399999999999997,0.4713333333333334,0.4846666666666667,0.43533333333333335,0.4966666666666667
10,SNSR_prag,0.32199999999999995,0.15266666666666667,0.1293333333333334,0.07800000000000007,0.06266666666666665,0.08533333333333326,0.03733333333333333,0.02400000000000002
11,SNSV_prag,0.1330371710796982,0.05730498330085362,0.046161840903018135,0.02791654228828017,0.02559127937886094,0.025399483987830773,0.017444090583813673,0.01200000000000001
